fold,train_size,test_size,train_positives,test_positives,auc,pr_auc,brier,precision,recall,f1,Regime,Feature_Set,Model
1,8000,2000,1280,319,0.5634371987117684,0.18005676317503516,0.133130984764599,0.0,0.0,0.0,5%,Sentiment,LogisticRegression
2,8000,2000,1279,320,0.5762053571428571,0.19471408813039942,0.1330419788458697,0.0,0.0,0.0,5%,Sentiment,LogisticRegression
3,8000,2000,1279,320,0.5755245535714285,0.19274151788236393,0.1330060665960253,0.0,0.0,0.0,5%,Sentiment,LogisticRegression
4,8000,2000,1279,320,0.5495498511904762,0.1801278753576066,0.13405429769070792,0.0,0.0,0.0,5%,Sentiment,LogisticRegression
5,8000,2000,1279,320,0.5794754464285714,0.1858627847894565,0.13292366982353493,0.0,0.0,0.0,5%,Sentiment,LogisticRegression
1,8000,2000,1280,319,0.5626287905206447,0.1858442058258431,0.15452265,0.2318840579710145,0.10031347962382445,0.1400437636761488,5%,Hybrid,RandomForest
2,8000,2000,1279,320,0.5437909226190476,0.17522655109027366,0.15724425000000003,0.19230769230769232,0.078125,0.1111111111111111,5%,Hybrid,RandomForest
3,8000,2000,1279,320,0.5351422991071428,0.16795148194611037,0.15820150000000002,0.11764705882352941,0.04375,0.06378132118451026,5%,Hybrid,RandomForest
4,8000,2000,1279,320,0.5133993675595239,0.16117012219769958,0.1599527,0.1504424778761062,0.053125,0.07852193995381063,5%,Hybrid,RandomForest
5,8000,2000,1279,320,0.519599144345238,0.16396153702273453,0.1638329,0.125,0.05625,0.07758620689655173,5%,Hybrid,RandomForest
1,8000,2000,1280,319,0.5607872609041864,0.17928798596672335,0.13323259985762298,0.0,0.0,0.0,5%,Hybrid,LogisticRegression
2,8000,2000,1279,320,0.5701134672619048,0.1864753238555658,0.1331790655483594,0.0,0.0,0.0,5%,Hybrid,LogisticRegression
3,8000,2000,1279,320,0.5767652529761904,0.19453588207290995,0.13297331700288997,0.0,0.0,0.0,5%,Hybrid,LogisticRegression
4,8000,2000,1279,320,0.5504780505952381,0.18182564645818772,0.1340395750394635,0.0,0.0,0.0,5%,Hybrid,LogisticRegression
5,8000,2000,1279,320,0.57875,0.1857390930748507,0.1329765975877887,0.0,0.0,0.0,5%,Hybrid,LogisticRegression
1,8000,2000,1625,406,0.5267976896119068,0.20200604734834127,0.1961404,0.15544041450777202,0.07389162561576355,0.1001669449081803,10%,Traditional,RandomForest
2,8000,2000,1625,406,0.515187031417075,0.20349026899834147,0.19463690000000003,0.1437125748502994,0.059113300492610835,0.08376963350785341,10%,Traditional,RandomForest
3,8000,2000,1625,406,0.5436071845776341,0.22180805370057965,0.18755690000000003,0.23783783783783785,0.10837438423645321,0.14890016920473773,10%,Traditional,RandomForest
4,8000,2000,1625,406,0.5314186203188064,0.21328076755739056,0.19233609999999998,0.19801980198019803,0.09852216748768473,0.13157894736842105,10%,Traditional,RandomForest
5,8000,2000,1624,407,0.5305313017177424,0.20610995786210204,0.19490695,0.1638418079096045,0.07125307125307126,0.09931506849315068,10%,Traditional,RandomForest
1,8000,2000,1625,406,0.5628866871457621,0.23172423066233855,0.16047354632039884,0.0,0.0,0.0,10%,Traditional,LogisticRegression
2,8000,2000,1625,406,0.5676366423348641,0.23856300172270106,0.16049733532318394,0.0,0.0,0.0,10%,Traditional,LogisticRegression
3,8000,2000,1625,406,0.5576731709427596,0.22782321916992795,0.16063414022688552,0.0,0.0,0.0,10%,Traditional,LogisticRegression
4,8000,2000,1625,406,0.5809933803487215,0.2486995839089646,0.15961559293776548,0.0,0.0,0.0,10%,Traditional,LogisticRegression
5,8000,2000,1624,407,0.5559272677916746,0.22536068858577468,0.16082787955149638,0.0,0.0,0.0,10%,Traditional,LogisticRegression
1,8000,2000,1625,406,0.5245594625164564,0.2010743329303604,0.19470115000000002,0.12,0.05172413793103448,0.07228915662650602,10%,Sentiment,RandomForest
2,8000,2000,1625,406,0.5113147517476251,0.20710267752006456,0.19239589999999998,0.17177914110429449,0.06896551724137931,0.0984182776801406,10%,Sentiment,RandomForest
3,8000,2000,1625,406,0.5318682745022899,0.2156079853904845,0.18805950000000002,0.21951219512195122,0.08866995073891626,0.12631578947368421,10%,Sentiment,RandomForest
4,8000,2000,1625,406,0.5336475761939787,0.21507493427633495,0.1892772,0.22162162162162163,0.10098522167487685,0.13874788494077833,10%,Sentiment,RandomForest
5,8000,2000,1624,407,0.5274002816375698,0.20697068883724518,0.19286775,0.17073170731707318,0.0687960687960688,0.09807355516637478,10%,Sentiment,RandomForest
1,8000,2000,1625,406,0.5618050447799939,0.22965217707466667,0.16047268883774726,0.0,0.0,0.0,10%,Sentiment,LogisticRegression
