threshold,precision,recall,f1,specificity,npv,tp,fp,tn,fn,threshold_type,Regime,Feature_Set
0.59,0.16820702402957485,0.0448055145248646,0.07076205287713841,0.9435311833354247,0.7949043239243049,91,450,7519,1940,Top_5%,10%,Sentiment
0.6,0.16096579476861167,0.03938946331856229,0.06329113924050633,0.947672229890827,0.7946964116594759,80,417,7552,1951,Fixed,10%,Sentiment
0.7,0.14906832298136646,0.011816838995568686,0.021897810218978103,0.9828083824821182,0.7960158552698445,24,137,7832,2007,Fixed,10%,Sentiment
0.8,0.10204081632653061,0.002461841457410143,0.004807692307692308,0.9944786045927971,0.7964023716209426,5,44,7925,2026,Fixed,10%,Sentiment
0.9,0.0,0.0,0.0,0.9987451374074539,0.7966966966966967,0,10,7959,2031,Fixed,10%,Sentiment
0.06,0.21618467124886526,0.8207779419005417,0.34222952165879694,0.24156104906512738,0.8409785932721713,1667,6044,1925,364,Youden,10%,Hybrid
0.1,0.2143919119833482,0.7099950763170851,0.3293365307753797,0.3369306060986322,0.820097739767868,1442,5284,2685,589,Fixed,10%,Hybrid
0.2,0.2183288409703504,0.47858197932053176,0.2998611753817677,0.5633078177939516,0.8091204037490988,972,3480,4489,1059,Fixed,10%,Hybrid
0.3,0.21340996168582377,0.2742491383554899,0.24003447532859298,0.7423767097502824,0.8005412719891746,557,2053,5916,1474,Fixed,10%,Hybrid
0.35,0.21005475360876058,0.20777941900541605,0.2089108910891089,0.8008533065629314,0.7986484795394819,422,1587,6382,1609,Top_20%,10%,Hybrid
0.4,0.20463320463320464,0.15657311669128507,0.1774058577405858,0.8448989835613,0.7971820980345726,318,1236,6733,1713,Fixed,10%,Hybrid
0.49,0.19351763584366063,0.0999507631708518,0.1318181818181818,0.8938386246705986,0.7957770081555133,203,846,7123,1828,Top_10%,10%,Hybrid
0.5,0.1933867735470942,0.09502708025603152,0.12743479696269397,0.8989835613000376,0.7958231504110198,193,805,7164,1838,Fixed,10%,Hybrid
